,submit_form_code,site,location,microsite,overall_sample_number,samplenumber,what,what_where,collection_date,collection_date_value,collection_time,life_stage_cohort,life_stage,bird_name,bird_id,cohousing_status,cohousing_id,cohort,cohort_actual,age_1,age_2,average_age,age_bin,weight,weight_bin,sample_freshness,coccidiosis_treatment_history,coccidiosis_treatment,eryvac_vaccination_dose_1_date,eryvac_vaccination_dose_1_date_value,eryvac_vaccination_dosage_1,eryvac_vaccination_dose_2_date,eryvac_vaccination_dose_2_date_value,eryvac_vaccination_dosage_2,medical_history,antiobiotics_history_med_1,antiobiotics_history_med_2,antiobiotics_history_med_3,antibiotics_history,antibiotics_status_on_collection,antifungal_history_med_1,antifungal_history_med_2,antifungal_history,antifungal_status_on_collection,cohort_bird_name
AG0699_rowi_002,AG0699_rowi_002,Willowbank,wild_chick_pens,holding_pen_2_hutch,2,2,kiwi_poo,kiwi_poo_control,13/10/2020,44117,900,Control - Transitionary,Transitionary,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,36,38,37,<40,467.5,3,3,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_003,AG0699_rowi_003,Willowbank,wild_chick_pens,holding_pen_2_hutch,3,3,kiwi_poo,kiwi_poo_control,13/10/2020,44117,1125,Control - Transitionary,Transitionary,Te_Haumaru,R.DK2021.1,negative,NA,Control,Control,38,NA,38,<40,526,3,1,negative,NA,20/10/2020,44124,0.5,3/11/2020,44138,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Te_Haumaru
AG0699_rowi_004,AG0699_rowi_004,Willowbank,runs,run_1_hutch,4,4,kiwi_poo,kiwi_poo_control,17/10/2020,44121,830,Control - Runs,Runs,Boof,R.DG2021.1,negative,NA,Control,Control,40,NA,40,<40,466,3,2,negative,NA,20/10/2020,44124,0.5,3/11/2020,44138,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof
AG0699_rowi_005,AG0699_rowi_005,Willowbank,runs,run_1_hutch,5,5,kiwi_poo,kiwi_poo_control,17/10/2020,44121,830,Control - Runs,Runs,Te_Haumaru,R.DK2021.1,negative,NA,Control,Control,42,NA,42,<50,526,3,2,negative,NA,20/10/2020,44124,0.5,3/11/2020,44138,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Te_Haumaru
AG0699_rowi_006,AG0699_rowi_006,Willowbank,transport_box,transport_box,6,6,kiwi_poo,kiwi_poo_control,21/10/2020,44125,700,Control - Transitionary,Transitionary,Brownie,R.DZ2021.1,negative,NA,Control,Control,24,NA,24,<30,417.5,2,1,negative,NA,14/10/2020,44118,0.5,28/10/2020,44132,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie
AG0699_rowi_007,AG0699_rowi_007,Willowbank,transport_box,transport_box_swab,7,7,environmental_swab,swab_willowbank,22/10/2020,44126,700,Willowbank swab,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_008,AG0699_rowi_008,Willowbank,wild_chick_pens,holding_pen_2_swab_hutch,8,8,environmental_swab,swab_willowbank,21/10/2020,44125,700,Willowbank swab,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_009,AG0699_rowi_009,Willowbank,transport_box,transport_box,9,9,kiwi_poo,kiwi_poo_control,21/10/2020,44125,700,Control - Transitionary,Transitionary,Mahuta,R.CU2021.1,negative,NA,Control,Control,24,NA,24,<30,417.5,2,1,negative,NA,14/10/2020,44118,0.5,28/10/2020,44132,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Mahuta
AG0699_rowi_010,AG0699_rowi_010,Willowbank,runs,run_1_hutch,10,10,kiwi_poo,kiwi_poo_control,21/10/2020,44125,700,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,44,46,45,<50,530,3,2,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_011,AG0699_rowi_011,Willowbank,runs,run_1,11,11,environmental_soil,soil_willowbank,21/10/2020,44125,700,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_012,AG0699_rowi_012,Willowbank,runs,run_2,12,12,environmental_soil,soil_willowbank,21/10/2020,44125,700,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_015,AG0699_rowi_015,Willowbank,runs,run_5,15,15,environmental_soil,soil_willowbank,21/10/2020,44125,700,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_017,AG0699_rowi_017,Willowbank,runs,run_7,17,17,environmental_soil,soil_willowbank,21/10/2020,44125,700,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_018,AG0699_rowi_018,Willowbank,runs,run_8,18,18,environmental_soil,soil_willowbank,21/10/2020,44125,700,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_019,AG0699_rowi_019,Willowbank,runs,run_9,19,19,environmental_soil,soil_willowbank,21/10/2020,44125,700,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_020,AG0699_rowi_020,Willowbank,wild_chick_pens,holding_pen_2_hutch,20,20,kiwi_poo,kiwi_poo_control,22/10/2020,44126,830,Control - Transitionary,Transitionary,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,25,25,25,<30,430,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_021,AG0699_rowi_021,Willowbank,wild_chick_pens,holding_pen_2_hutch,21,21,kiwi_poo,kiwi_poo_control,22/10/2020,44126,830,Control - Transitionary,Transitionary,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,25,25,25,<30,430,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_023,AG0699_rowi_023,Willowbank,wild_chick_pens,holding_pen_2_hutch,23,23,kiwi_poo,kiwi_poo_control,23/10/2020,44127,830,Control - Transitionary,Transitionary,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,26,26,26,<30,440,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_024,AG0699_rowi_024,Willowbank,wild_chick_pens,holding_pen_2_hutch,24,24,kiwi_poo,kiwi_poo_control,23/10/2020,44127,830,Control - Transitionary,Transitionary,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,26,26,26,<30,440,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_025,AG0699_rowi_025,Willowbank,runs,run_2_hutch,25,25,kiwi_poo,kiwi_poo_control,28/10/2020,44132,1100,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,31,31,31,<40,507.5,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_028,AG0699_rowi_028,Willowbank,runs,run_1_hutch,28,28,kiwi_poo,kiwi_poo_control,28/10/2020,44132,1100,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,51,53,52,<60,592.5,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_029,AG0699_rowi_029,Willowbank,transport_box,transport_box,29,29,kiwi_poo,kiwi_poo_control,3/11/2020,44138,1630,Control - Transitionary,Transitionary,Alice,R.EA2021.1,negative,NA,Control,Control,24,NA,24,<30,379,2,3,negative,NA,27/10/2020,44131,0.5,10/11/2020,44145,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Alice
AG0699_rowi_030,AG0699_rowi_030,Willowbank,transport_box,transport_box,30,30,kiwi_poo,kiwi_poo_control,3/11/2020,44138,1630,Control - Transitionary,Transitionary,Proudfoot,R.FA2021.1,negative,NA,Control,Control,30,NA,30,<40,411,2,3,negative,NA,27/10/2020,44131,0.5,10/11/2020,44145,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot
AG0699_rowi_031,AG0699_rowi_031,Willowbank,transport_box,transport_box,31,31,kiwi_poo,kiwi_poo_control,3/11/2020,44138,1630,Control - Transitionary,Transitionary,Elmo,R.EL2021.1.2,negative,NA,Control,Control,33,NA,33,<40,568,4,3,negative,NA,27/10/2020,44131,0.5,10/11/2020,44145,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo
AG0699_rowi_033,AG0699_rowi_033,Willowbank,wild_chick_pens,holding_pen_1_hutch,33,33,kiwi_poo,kiwi_poo_control,4/11/2020,44139,830,Control - Transitionary,Transitionary,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,31,25,28,<30,378.5,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
AG0699_rowi_034,AG0699_rowi_034,Willowbank,wild_chick_pens,holding_pen_2_hutch,34,34,kiwi_poo,kiwi_poo_control,4/11/2020,44139,830,Control - Transitionary,Transitionary,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,34,35,34.5,<40,502.5,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_035,AG0699_rowi_035,Willowbank,runs,run_1_hutch,35,35,kiwi_poo,kiwi_poo_control,4/11/2020,44139,830,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,58,60,59,<60,647.5,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_036,AG0699_rowi_036,Willowbank,runs,run_2_hutch,36,36,kiwi_poo,kiwi_poo_control,4/11/2020,44139,830,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,38,38,38,<40,602.5,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_037,AG0699_rowi_037,Willowbank,wild_chick_pens,holding_pen_1_hutch,37,37,kiwi_poo,kiwi_poo_control,5/11/2020,44140,830,Control - Transitionary,Transitionary,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,32,26,29,<30,390,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
AG0699_rowi_038,AG0699_rowi_038,Willowbank,wild_chick_pens,holding_pen_2_hutch,38,38,kiwi_poo,kiwi_poo_control,5/11/2020,44140,830,Control - Transitionary,Transitionary,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,35,36,35.5,<40,515,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_039,AG0699_rowi_039,Willowbank,runs,run_1_hutch,39,39,kiwi_poo,kiwi_poo_control,12/11/2020,44147,830,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,66,68,67,<70,692.5,5,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_040,AG0699_rowi_040,Willowbank,runs,run_2_hutch,40,40,kiwi_poo,kiwi_poo_control,12/11/2020,44147,830,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,46,46,46,<50,680,5,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_041,AG0699_rowi_041,Willowbank,runs,run_3_hutch,41,41,kiwi_poo,kiwi_poo_control,12/11/2020,44147,830,Control - Runs,Runs,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,42,43,42.5,<50,580,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_042,AG0699_rowi_042,Willowbank,runs,run_4_hutch,42,42,kiwi_poo,kiwi_poo_control,12/11/2020,44147,830,Control - Runs,Runs,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,39,33,36,<40,455,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
AG0699_rowi_043,AG0699_rowi_043,Willowbank,transport_box,transport_box,43,43,kiwi_poo,kiwi_poo_control,18/11/2020,44153,1900,Control - Transitionary,Transitionary,Aqua,R.FO2021.1,negative,NA,Control,Control,29,NA,29,<30,415,2,3,negative,NA,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Aqua
AG0699_rowi_044,AG0699_rowi_044,Willowbank,transport_box,transport_box,44,44,kiwi_poo,kiwi_poo_control,18/11/2020,44153,1900,Control - Transitionary,Transitionary,Mac,R.K22021.1,negative,NA,Control,Control,39,NA,39,<40,590,4,3,negative,NA,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Mac
AG0699_rowi_045,AG0699_rowi_045,Willowbank,transport_box,transport_box,45,45,kiwi_poo,kiwi_poo_control,18/11/2020,44153,1900,Control - Transitionary,Transitionary,Snickers,R.EX2021.1,negative,NA,Control,Control,35,NA,35,<40,453,3,3,negative,NA,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Snickers
AG0699_rowi_047,AG0699_rowi_047,Willowbank,wild_chick_pens,holding_pen_1_hutch,47,47,kiwi_poo,kiwi_poo_control,19/11/2020,44154,800,Control - Transitionary,Transitionary,Aqua_Snickers,R.FO2021.1 / R.EX2021.1,positive,c2,Control,Control,30,36,33,<40,417.5,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Aqua_Snickers
AG0699_rowi_048,AG0699_rowi_048,Willowbank,runs,run_1_hutch,48,48,kiwi_poo,kiwi_poo_control,19/11/2020,44154,800,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,73,75,74,<80,735,5,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_049,AG0699_rowi_049,Willowbank,runs,run_2_hutch,49,49,kiwi_poo,kiwi_poo_control,19/11/2020,44154,800,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,53,53,53,<60,737.5,5,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_050,AG0699_rowi_050,Willowbank,runs,run_3_hutch,50,50,kiwi_poo,kiwi_poo_control,19/11/2020,44154,800,Control - Runs,Runs,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,49,50,49.5,<50,630,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_051,AG0699_rowi_051,Willowbank,runs,run_4_hutch,51,51,kiwi_poo,kiwi_poo_control,19/11/2020,44154,800,Control - Runs,Runs,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,46,40,43,<50,520,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
AG0699_rowi_052,AG0699_rowi_052,Willowbank,wild_chick_pens,holding_pen_2_hutch,52,52,kiwi_poo,kiwi_poo_control,20/11/2020,44155,830,Control - Transitionary,Transitionary,Mac,R.K22021.1,negative,NA,Control,Control,41,NA,41,<50,570,4,1,negative,NA,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Mac
AG0699_rowi_053,AG0699_rowi_053,Willowbank,wild_chick_pens,holding_pen_1_hutch,53,53,kiwi_poo,kiwi_poo_control,20/11/2020,44155,830,Control - Transitionary,Transitionary,Aqua_Snickers,R.FO2021.1 / R.EX2021.1,positive,c2,Control,Control,31,37,34,<40,437.5,2,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Aqua_Snickers
AG0699_rowi_054,AG0699_rowi_054,Willowbank,runs,run_1_hutch,54,54,kiwi_poo,kiwi_poo_control,27/11/2020,44162,830,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,81,83,82,<90,810,6,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_055,AG0699_rowi_055,Willowbank,runs,run_2_hutch,55,55,kiwi_poo,kiwi_poo_control,27/11/2020,44162,830,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,61,61,61,<70,832.5,6,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_056,AG0699_rowi_056,Willowbank,runs,run_3_hutch,56,56,kiwi_poo,kiwi_poo_control,27/11/2020,44162,830,Control - Runs,Runs,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,57,58,57.5,<60,722.5,5,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_057,AG0699_rowi_057,Willowbank,runs,run_4_hutch,57,57,kiwi_poo,kiwi_poo_control,27/11/2020,44162,830,Control - Runs,Runs,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,54,48,51,<60,602.5,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
AG0699_rowi_058,AG0699_rowi_058,Willowbank,runs,run_5_hutch,58,58,kiwi_poo,kiwi_poo_control,27/11/2020,44162,830,Control - Runs,Runs,Mac,R.K22021.1,negative,NA,Control,Control,48,NA,48,<50,620,4,1,negative,NA,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Mac
AG0699_rowi_059,AG0699_rowi_059,Willowbank,runs,run_6_hutch,59,59,kiwi_poo,kiwi_poo_control,27/11/2020,44162,830,Control - Runs,Runs,Aqua_Snickers,R.FO2021.1 / R.EX2021.1,positive,c2,Control,Control,38,44,41,<50,530,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Aqua_Snickers
AG0699_rowi_060,AG0699_rowi_060,Willowbank,runs,run_1_hutch,60,60,kiwi_poo,kiwi_poo_control,3/12/2020,44168,830,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,87,89,88,<90,857.5,7,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_061,AG0699_rowi_061,Willowbank,runs,run_2_hutch,61,61,kiwi_poo,kiwi_poo_control,3/12/2020,44168,830,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,67,67,67,<70,930,7,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_062,AG0699_rowi_062,Willowbank,runs,run_3_hutch,62,62,kiwi_poo,kiwi_poo_control,3/12/2020,44168,830,Control - Runs,Runs,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,63,64,63.5,<70,782.5,6,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_063,AG0699_rowi_063,Willowbank,runs,run_4_hutch,63,63,kiwi_poo,kiwi_poo_control,3/12/2020,44168,830,Control - Runs,Runs,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,60,54,57,<60,665,5,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
AG0699_rowi_064,AG0699_rowi_064,Willowbank,runs,run_5_hutch,64,64,kiwi_poo,kiwi_poo_control,3/12/2020,44168,830,Control - Runs,Runs,Mac,R.K22021.1,negative,NA,Control,Control,54,NA,54,<60,680,5,1,negative,NA,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Mac
AG0699_rowi_065,AG0699_rowi_065,Willowbank,runs,run_6_hutch,65,65,kiwi_poo,kiwi_poo_control,3/12/2020,44168,830,Control - Runs,Runs,Aqua_Snickers,R.FO2021.1 / R.EX2021.1,positive,c2,Control,Control,44,50,47,<50,575,4,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Aqua_Snickers
AG0699_rowi_066,AG0699_rowi_066,Willowbank,runs,run_1_hutch,66,66,kiwi_poo,kiwi_poo_control,10/12/2020,44175,830,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,94,96,95,<100,890,7,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_067,AG0699_rowi_067,Willowbank,runs,run_2_hutch,67,67,kiwi_poo,kiwi_poo_control,10/12/2020,44175,830,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,74,74,74,<80,957.5,8,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_068,AG0699_rowi_068,Willowbank,runs,run_3_hutch,68,68,kiwi_poo,kiwi_poo_control,10/12/2020,44175,830,Control - Runs,Runs,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,70,71,70.5,<80,840,6,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_069,AG0699_rowi_069,Willowbank,runs,run_4_hutch,69,69,kiwi_poo,kiwi_poo_control,10/12/2020,44175,830,Control - Runs,Runs,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,67,61,64,<70,692.5,5,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
AG0699_rowi_071,AG0699_rowi_071,Willowbank,runs,run_6_hutch,71,71,kiwi_poo,kiwi_poo_control,10/12/2020,44175,830,Control - Runs,Runs,Aqua,R.FO2021.1,negative,NA,Control,Control,51,NA,51,<60,550,3,1,negative,NA,8/11/2020,44143,0.5,1/12/2020,44166,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Aqua
AG0699_rowi_072,AG0699_rowi_072,Willowbank,runs,run_1_hutch,72,72,kiwi_poo,kiwi_poo_control,18/12/2020,44183,830,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,102,104,103,<110,1000,8,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_073,AG0699_rowi_073,Willowbank,runs,run_2_hutch,73,73,kiwi_poo,kiwi_poo_control,18/12/2020,44183,830,Control - Runs,Runs,Brownie_Mahuta,R.DZ2021.1 / R.CU2021.1,positive,c4,Control,Control,82,82,82,<90,1047.5,8,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie_Mahuta
AG0699_rowi_074,AG0699_rowi_074,Willowbank,runs,run_3_hutch,74,74,kiwi_poo,kiwi_poo_control,18/12/2020,44183,830,Control - Runs,Runs,Elmo_Wiggles,R.EL2021.1.2 / R.ES2021.1,positive,c5,Control,Control,78,79,78.5,<80,900,7,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elmo_Wiggles
AG0699_rowi_075,AG0699_rowi_075,Willowbank,runs,run_4_hutch,75,75,kiwi_poo,kiwi_poo_control,18/12/2020,44183,830,Control - Runs,Runs,Proudfoot_Alice,R.FA2021.1 / R.EA2021.1,positive,c8,Control,Control,75,69,72,<80,800,6,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Proudfoot_Alice
